iter	Passed	Remaining
0	1	119
1	2	119
2	3	125
3	4	119
4	6	122
5	7	120
6	8	115
7	10	119
8	11	120
9	13	120
10	14	120
11	16	118
12	17	117
13	19	117
14	20	115
15	21	113
16	22	111
17	23	108
18	24	105
19	25	103
20	26	101
21	28	99
22	28	96
23	29	94
24	31	93
25	32	92
26	33	91
27	34	89
28	35	86
29	36	85
30	38	84
31	39	83
32	40	82
33	42	81
34	43	80
35	44	78
36	45	77
37	46	75
38	47	74
39	49	73
40	50	72
41	51	70
42	52	69
43	53	68
44	54	66
45	55	65
46	57	64
47	58	63
48	59	62
49	60	60
50	62	59
51	63	58
52	65	57
53	66	56
54	67	54
55	68	53
56	69	52
57	70	50
58	71	49
59	72	48
60	72	46
61	73	45
62	75	44
63	76	43
64	78	42
65	79	40
66	80	39
67	82	38
68	83	37
69	84	36
70	85	34
71	86	33
72	87	32
73	88	30
74	88	29
75	89	28
76	91	27
77	92	25
78	93	24
79	93	23
80	94	22
81	96	21
82	97	19
83	98	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	108	6
94	109	5
95	110	4
96	110	3
97	111	2
98	112	1
99	113	0
